ts,source,step,exe,cmdline,user,pid,ppid,src_ip,src_port,dst_ip,dst_port,proto,excerpt,source_file
2025-12-14 15:00:14.182000,syslog,INSTALL,sudo,/usr/bin/apt install subversion,azureofficer,,,,,,,,/usr/bin/apt install subversion | azureofficer : TTY=pts/0 PWD=/home/azureofficer/Downloads USER=root COMMAND=/usr/bin/apt install subversion | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 11:44:43.851000,syslog,INSTALL,sudo,/usr/bin/npm install fastify @fastify/cors,Newt,,,,,,,,/usr/bin/npm install fastify @fastify/cors | Newt : TTY=pts/0 PWD=/opt/attack-server USER=root COMMAND=/usr/bin/npm install fastify @fastify/cors | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 11:45:45.651000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-14 15:17:48.098000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-14 15:27:48.931000,syslog,INSTALL,sudo,/usr/bin/apt install audit audispd-plugins,azureofficer,,,,,,,,/usr/bin/apt install audit audispd-plugins | azureofficer : TTY=pts/0 PWD=/var/log/audit USER=root COMMAND=/usr/bin/apt install audit audispd-plugins | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-14 15:27:54.758000,syslog,INSTALL,sudo,/usr/bin/apt install auditd audispd-plugins,azureofficer,,,,,,,,/usr/bin/apt install auditd audispd-plugins | azureofficer : TTY=pts/0 PWD=/var/log/audit USER=root COMMAND=/usr/bin/apt install auditd audispd-plugins | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 14:45:46.362000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 12:45:45.912000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-14 16:13:13.416000,syslog,INSTALL,sudo,/usr/bin/apt install auditd audispd-plugins,azureofficer,,,,,,,,/usr/bin/apt install auditd audispd-plugins | azureofficer : TTY=pts/0 PWD=/var/log USER=root COMMAND=/usr/bin/apt install auditd audispd-plugins | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-14 16:17:48.458000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
2025-12-15 13:45:46.319000,syslog,INSTALL,sudo,/usr/bin/apt-get install ubuntu-advantage-tools -y,root,,,,,,,,/usr/bin/apt-get install ubuntu-advantage-tools -y | root : PWD=/var/lib/waagent/Microsoft.CPlat.Core.LinuxPatchExtension-1.6.64 USER=root COMMAND=/usr/bin/apt-get install ubuntu-advantage-tools -y | sudo,/Users/zhuoran/Projects/SSCMDataset/sanidata/sc4/azure_syslog.csv
